id,name
775,Otto Adam
776,Paul Adam
777,Pierre Louis Eugne Adam
778,Sndor dm
779,Shuaib Adam
780,Tony Adam
781,Ahmed Adam Salah
782,Samba Adama
783,Stefan Adamczak
784,Matthias Adamczewski
785,Dariusz Adamczuk
786,Adam Eucharyst Adamczyk
787,Edward Adamczyk
788,Lubo Adamec
789,Petr Adamec
790,Mara Teresa Adames
791,Luigi Adami
792,Jina Adamikov-Pelcov
793,Panagiotis Adamidis
794,Janusz Andrzej Adamiec
795,Tomasz Adamiec
796,"Sabine Heidrun Adamik (Picken-, -Bothe)"
797,Zoltn Adamik
798,Pirouz Adamiyat
799,Nafissatou Moussa Adamou
800,Georgi Mirchev Adamov
801,Tatyana Pavlovna Adamovich
802,Tadeusz Ralf Adamowski
803,Anne Wilma Adams (-King)
804,Antoine Xavier Adams
805,April Jane Adams
806,"Bartlett S. ""Bart"" Adams"
807,"Benjamin Willard ""Ben"" Adams"
808,"Robert ""Bob"" Adams"
809,Brian Adams
810,Bridget Shirley Adams (-Bengough)
811,Natalie Cammile Adams (-Brannan)
812,David Dixie Adams
813,Edgar Holmes Adams
814,Edward Adams
815,"Francis ""Frank"" Adams"
816,"Frederick Thomas ""Fred"" Adams"
817,"Gerard ""Gerry"" Adams"
818,Harry Lester Adams
819,John E. Adams
820,"Judith C. ""Judi"" Adams"
821,Keith Adams
822,Lennox Adams
823,Liam Adams
824,Luke Kendall Adams
825,Lynda Riley Adams (-Hunt)
826,Lyukman Rasakovich Adams
827,Mareike Adams
828,Maureen Adams
829,"Morgan Orlando Adams, Jr."
830,Adrian Neil Adams
831,Nelson Luis Adams
832,Nicola Virginia Adams
833,Odalys Adams Castillo
834,Paul Adams
835,"Phillip Maxwell ""Phil"" Adams"
836,Platt Adams
837,Rachael Alexis Adams
838,Ralph Andrew Adams
839,Robert P. Adams
840,"Victoria ""Vicki"" Adams"
841,Walter Adams
842,Wayman Elbridge Adams
843,William T. Adams
844,"William Edward ""Willie"" Adams"
845,"Birgitta Ann-Agnes ""Bride"" Adams-Ray"
846,Valerie Kasanita Adams-Vili (-Price)
847,Morten Gundro Adamsen
848,Antoni Adamski
849,Filip Kamil Adamski
850,Herbert Adamski
851,Jerzy Adamski
852,Tadeusz Adamski
853,Per Anders Adamson
854,Derrick Adamson
855,"James Nicholas ""Nick"" Adamson"
856,Per Owe Adamson
857,Gsta Napoleon Adamsson
858,Charles Adamu
859,Mamudu Adamu
860,Dariusz Adamus
861,Jos Carlos Adn Arias
862,Nenita Adan
863,Aboukar Hassan Adani
864,Yasemin Adar
865,Juan Bautista Adarraga Elizarn
866,Orhan Ada
867,"Christopher Thomas ""Chris"" Adcock"
868,"Frances ""Fran"" Adcock"
869,"  Gabrielle Marie ""Gabby"" Adcock (White-)"
870,"William Arthur ""Bill"" Adcocks"
871,Berkane Lakhdar Adda
872,Elie Adda
873,Mehdi Addadi
874,"Edith Addams de Habbelinck (-Lutjens, -Taylor, -Bel Geddes)"
875,Jenny Marie Beatrice Addams
876,Jean Renaud Adde
877,Yannick Adde
878,Hamida Addche
879,Corran Descy Addison
880,Roy Addison
881,"Joseph ""Joe"" Addo"
882,Simon Addo
883,Charles Addo-Odametey
884,Eugene Addor
885,"Robert Charles ""Bob"" Addy"
886,Ebenezer Charles O. Addy
887,James Aryee Addy
888,Jangy McKinley Addy
889,Mercy Addy
890,Winifred Addy
891,William Harold Ade
892,Peter Adeberg
893,Ulrike Adeberg (-Spielmann)
894,James Adede
895,Adegboyega Folaranmi Adedoyin
896,Olubayo Adefemi
